Normalized_SSIM_Score,Normalized_SS_Score
0.3739285052360396,0.05555555555555555
0.43407250159504335,0.2222222222222222
0.4293756775590086,0.4166666666666667
0.6062048469813591,0.2777777777777778
0.5015090186863934,0.1111111111111111
0.7405596084200821,0.2222222222222222
0.46935416567661414,0.4722222222222222
0.35662668796295444,0.4166666666666667
0.32760028199216,0.4722222222222222
0.6436181317490881,0.2777777777777778
0.5549304744698859,0.3888888888888889
0.5365694850044833,0.19444444444444445
0.5116323784343875,0.3333333333333333
0.5690673852763714,0.1111111111111111
0.37795067729161347,0.7777777777777778
0.5041626709966923,0.08333333333333333
0.3599166615444774,0.4444444444444444
0.18020819313019693,0.05555555555555555
0.5702785343317014,0.3055555555555556
0.5380200960130489,0.4722222222222222
0.4980584244984721,0.3611111111111111
0.44378525338278757,0.2777777777777778
0.5664222767716963,0.16666666666666666
0.2563605557352984,0.25
0.5725993161947307,0.5833333333333334
0.46626486625040603,0.3611111111111111
0.4001084118119127,0.027777777777777776
0.28784853812571326,0.2777777777777778
0.21836576042855235,0.08333333333333333
0.4246319420001571,0.2777777777777778
0.5674040000303384,0.3888888888888889
0.0,0.5277777777777778
0.3630165239317136,0.16666666666666666
0.15709854087884478,0.5277777777777778
0.5298741447274194,0.19444444444444445
0.45045171228294434,0.5833333333333334
0.5104855654837975,0.2222222222222222
0.5372383390896248,0.19444444444444445
0.23516417514528482,0.3888888888888889
0.5921680174867011,0.6666666666666666
0.5650984647762932,0.75
0.29801404897090433,0.3888888888888889
0.3305364513660203,0.3888888888888889
0.5147439413738563,0.19444444444444445
0.44183639871704944,0.2777777777777778
0.4381865547954146,0.4722222222222222
0.6320830213481167,0.3611111111111111
0.24868947878099723,0.08333333333333333
0.39170903959403763,0.3055555555555556
0.6052985058682012,0.3055555555555556
0.512451957579601,0.4444444444444444
0.17781093238099444,0.5833333333333334
0.22290425467809927,0.6666666666666666
0.3447135700817102,0.1388888888888889
0.6372728566355779,0.3611111111111111
0.48803000097390936,0.2222222222222222
0.3547465479134161,0.4722222222222222
0.9301748054415537,0.3055555555555556
0.4801143979301086,0.5555555555555556
0.5114190947611826,0.3333333333333333
0.0931081279221025,0.3888888888888889
0.17578268296942162,0.3055555555555556
0.39993991868181317,0.5833333333333334
0.4819622398081468,0.5277777777777778
0.3373886716522918,0.4444444444444444
0.15948525549873155,0.4444444444444444
0.4764089551218332,0.7222222222222222
0.2824405757861725,0.2777777777777778
0.1442515775655613,0.1388888888888889
0.2630382397724434,0.3333333333333333
0.2575647972938941,0.8055555555555556
0.2515314734653068,0.08333333333333333
0.20109276133577103,0.2222222222222222
0.576411471101579,0.5833333333333334
0.5050353780372182,0.5
0.4592834724766989,0.1111111111111111
0.4443666290274815,0.2777777777777778
0.25768028662020787,0.2222222222222222
0.45558706252796316,0.4444444444444444
0.5706492620568666,0.6388888888888888
0.37951268225432,0.2777777777777778
0.4975000087579669,0.2222222222222222
0.04203755401120635,0.2222222222222222
0.29899608147529727,0.4166666666666667
0.5802588159855057,0.7222222222222222
0.34493317134548596,0.2222222222222222
0.5223207067261595,0.2222222222222222
0.13232548827160637,0.3333333333333333
0.37312402854743904,0.2222222222222222
0.2633923014995003,0.3333333333333333
0.346954956812406,0.3055555555555556
0.4177201611046214,0.2777777777777778
0.20588021439831433,0.19444444444444445
0.7237266961244473,0.3888888888888889
0.3379030317125319,0.2777777777777778
0.5840642523555416,0.16666666666666666
0.238014396903062,0.1111111111111111
0.2598732971262519,0.5277777777777778
0.13110543509869033,0.3611111111111111
0.40854381846495036,0.25
0.49641521999902916,0.19444444444444445
0.2772840883844831,0.2222222222222222
0.21053833955156068,0.25
0.6130453124458896,0.6111111111111112
0.4096500115328282,0.75
1.0,0.6944444444444444
0.27827766885213373,0.19444444444444445
0.43436097441622923,0.3055555555555556
0.2447936588640202,0.3611111111111111
0.509502044177611,0.2777777777777778
0.4216130700595619,0.2222222222222222
0.5324711823231038,0.3055555555555556
0.1971960315345343,0.3888888888888889
0.9067821137653541,0.2222222222222222
0.26465297301983837,0.3888888888888889
0.1844374089581289,0.5277777777777778
0.6092604142671267,0.4444444444444444
0.278955469334128,0.1388888888888889
0.15257668904398194,0.5277777777777778
0.2174557358673651,0.5
0.833280099593308,0.6666666666666666
0.4808221287054,0.2222222222222222
0.4122724766212816,0.5277777777777778
0.31772041439686616,0.25
0.5040978216910963,0.1111111111111111
0.38334799132803543,0.3888888888888889
0.9432783954513165,0.9444444444444444
0.3248722347918075,0.19444444444444445
0.9185333303493134,0.3333333333333333
0.3428582264700431,0.4166666666666667
0.12908402202193434,0.4166666666666667
0.44071790554304513,0.16666666666666666
0.3935065296068946,0.5833333333333334
0.5650565924580944,0.05555555555555555
0.4245246004421799,0.16666666666666666
0.04339980126392905,0.25
0.5467578872388562,0.3055555555555556
0.2149511884541619,0.3888888888888889
0.6105539867831943,0.2222222222222222
0.5099193510229443,0.2777777777777778
0.2878890602216124,0.05555555555555555
0.3223209723462641,0.2777777777777778
0.41478711220638315,0.4444444444444444
0.5133278119279433,0.3333333333333333
0.6101394204663232,0.3333333333333333
0.2102017185210739,0.25
0.3141557636166875,0.2222222222222222
0.05035003382201799,0.4166666666666667
0.2180983389381232,0.3611111111111111
0.29972308724320157,0.1388888888888889
0.5235772496028269,0.19444444444444445
0.4483688760285175,0.3055555555555556
0.9293498125288807,0.6944444444444444
0.4148986670412589,0.19444444444444445
0.4457396847263971,0.2777777777777778
0.3850048806835295,0.3611111111111111
0.15381286338252181,0.3611111111111111
0.15445884521766423,0.1111111111111111
0.44733679929584436,0.3333333333333333
0.4541374045707236,0.3888888888888889
0.31581376646312637,0.16666666666666666
0.5649610575640477,0.3888888888888889
0.4951603238145994,0.4166666666666667
0.4024497678977883,0.5277777777777778
0.044692159803160304,0.05555555555555555
0.1082555221363438,0.19444444444444445
0.5230675812909641,0.19444444444444445
0.5194362920136363,0.19444444444444445
0.3209107161989775,0.19444444444444445
0.4070143081873403,0.05555555555555555
0.864086539311078,0.2777777777777778
0.2213736232023931,0.1388888888888889
0.367671254172325,0.3055555555555556
0.8780112123651777,1.0
0.3389165301493566,0.3888888888888889
0.3894878461498839,0.4722222222222222
0.25270592366361483,0.3888888888888889
0.32506656205803536,0.5
0.486487297670156,0.6111111111111112
0.44669830760433493,0.6666666666666666
0.18415974626681167,0.3333333333333333
0.4390504318565447,0.2777777777777778
0.30416689546638187,0.3611111111111111
0.5270762461321908,0.6111111111111112
0.4168986778129168,0.5
0.24531860996117683,0.08333333333333333
0.29515523459338067,0.1111111111111111
0.3617726224956476,0.4166666666666667
0.4851813717073425,0.3611111111111111
0.2998346111062169,0.1388888888888889
0.45294545340501297,0.25
0.5642765121164498,0.4444444444444444
0.49353063672421593,0.19444444444444445
0.3722045334584134,0.19444444444444445
