Normalized_VGG_Similarity,Normalized_SS_Score
0.5459636,0.3548387096774194
0.39227965,0.25806451612903225
0.5257603,0.3870967741935484
0.47207496,0.3870967741935484
0.3412463,0.1935483870967742
0.35147777,0.5161290322580645
0.42623574,0.41935483870967744
0.5101269,0.22580645161290322
0.55270433,0.12903225806451613
0.37760168,0.6774193548387096
0.2394799,0.3548387096774194
0.45014885,0.16129032258064516
0.9145073,0.8387096774193549
0.46165377,0.2903225806451613
0.6330989,0.45161290322580644
0.46925035,0.3548387096774194
0.31931692,0.7096774193548387
0.43253505,0.3548387096774194
0.4712309,0.4838709677419355
0.47580972,0.3870967741935484
0.2751438,0.3870967741935484
0.44807115,0.22580645161290322
0.21276575,0.0967741935483871
0.65563536,0.9032258064516129
0.8130569,0.7096774193548387
0.32456368,0.22580645161290322
0.58005816,0.5806451612903226
0.46539885,0.4838709677419355
0.66001487,0.7096774193548387
0.29834327,0.1935483870967742
0.62327147,0.5483870967741935
0.52533,0.3870967741935484
0.67012334,0.6129032258064516
0.5580555,0.4838709677419355
0.43779844,0.4838709677419355
0.7345326,0.5161290322580645
0.8065315,0.7419354838709677
0.5028116,0.3548387096774194
0.68161505,0.25806451612903225
0.4397313,0.3870967741935484
0.63394755,0.3870967741935484
0.6982256,0.5161290322580645
0.48345295,0.3548387096774194
0.23349479,0.16129032258064516
0.76421267,0.5161290322580645
0.86545545,0.8709677419354839
0.5443999,0.8064516129032258
0.60389674,0.45161290322580644
0.717201,0.4838709677419355
0.40713364,0.5161290322580645
0.65198016,0.5806451612903226
0.28246918,0.3870967741935484
0.85781807,0.7419354838709677
0.63635916,0.3225806451612903
0.33563906,0.3870967741935484
0.39477155,0.25806451612903225
0.46270797,0.25806451612903225
0.3473301,0.25806451612903225
0.55134827,0.03225806451612903
0.46248516,0.45161290322580644
0.59378695,0.2903225806451613
0.39924383,0.45161290322580644
0.66958857,0.25806451612903225
0.7022345,0.4838709677419355
0.4769182,0.45161290322580644
0.28176364,0.3548387096774194
0.6118291,0.5483870967741935
0.6655675,0.6774193548387096
0.5702301,0.5806451612903226
0.48599923,0.3870967741935484
0.5669331,0.5161290322580645
0.44113156,0.4838709677419355
0.3637595,0.25806451612903225
0.7216215,0.3548387096774194
0.72948486,0.45161290322580644
0.45103204,0.3225806451612903
0.48944393,0.22580645161290322
0.59755594,0.3225806451612903
0.23595539,0.3870967741935484
0.63129073,0.2903225806451613
0.26425347,0.2903225806451613
0.5291635,0.3548387096774194
0.46973744,0.16129032258064516
0.52479374,0.41935483870967744
0.46778184,0.3225806451612903
0.40823823,0.5806451612903226
0.5690478,0.3548387096774194
0.3694149,0.4838709677419355
0.7519951,0.4838709677419355
0.6992157,0.3225806451612903
0.24494933,0.25806451612903225
0.2581268,0.06451612903225806
0.4114482,0.25806451612903225
0.70081663,0.8387096774193549
0.49534312,0.3870967741935484
0.21622628,0.16129032258064516
0.33615205,0.41935483870967744
0.4677073,0.3548387096774194
0.5429669,0.3548387096774194
