Normalized_SSIM_Score,Normalized_EfficientNet_Similarity
0.30206984262262637,0.2565416
0.7824357906592694,0.99323076
0.3000581633359978,0.13816501
0.6518897719704786,0.16696304
0.15801203801579466,0.13000402
0.5589421778405138,0.17704667
0.46324332543508334,0.31061897
0.17160714502676408,0.026911065
0.34723434505050965,0.31405026
0.6604944782970353,0.18769501
0.3478225926513781,0.17630692
0.4490074499425966,0.53179526
0.559921671037322,0.5434251
0.2366585696567267,0.16454636
0.3792879430904008,0.0904722
0.5489701742835753,0.2267268
0.14863712084121694,0.026780145
0.38747860036855863,0.18493916
0.17459712122102952,0.2544678
0.21225505887512847,0.17457755
0.44730243411065257,0.129246
0.47615202115315947,0.34830582
0.46076120398188264,0.14933194
0.7518256215607071,0.22718374
0.47794755008602413,0.1691277
0.21148460345925657,0.19694614
0.4908749333136605,0.27143535
0.3687003741389934,0.14561568
0.19335265021436868,0.332843
0.2695264326147008,0.2207205
0.4592759147607421,0.14925809
0.3216219485866802,0.20991293
0.4895960519790263,0.17856617
0.24222509500833972,0.1989378
0.060725499822026685,0.14294313
0.4084730084938862,0.24789834
0.38508236348323555,0.12732519
0.44607930579213356,0.078929655
0.1270514718925577,0.076145634
0.2802084718017165,0.33021715
0.36263938346723024,0.4612159
0.3235900903726496,0.14695816
0.34245413967397337,0.08468571
0.43824398129198894,0.19923393
0.8471214957398336,0.68340206
0.6080251207514675,0.550837
0.43332220168554614,0.022664798
0.280660668502616,0.19280078
0.2719497231810399,0.12878877
0.5487615785808014,0.048197202
0.2617044830372341,0.40406892
0.3697710253645727,0.41785115
0.2220535058520064,0.019783663
0.3596507096295044,0.20691383
0.7986920449682777,0.91758716
0.35298033875585555,0.2152099
0.3158299289289177,0.019434173
0.3080868737663237,0.5620931
0.23287484365141986,0.038287174
0.30754910851574707,0.013410064
0.3679890382837307,0.65525895
0.2898985875373,0.16174445
0.10639972903439253,0.017441925
0.40541961008357147,0.011002723
0.585387514777708,0.44091973
0.1353127395559889,0.03132289
0.4714724924807739,0.09534353
0.7956465720705105,0.22724614
0.3716466608461656,0.053934377
0.5132299961957503,0.16913816
0.23197858827363413,0.057992958
0.22950606174044877,0.25523522
0.38854015629891686,0.5941648
0.4997320427250745,0.18911013
0.35218261409512114,0.65565526
0.36973440782320527,0.25732273
0.3508514313372032,0.1949501
0.4992253993379787,0.43204534
0.6036107642080923,0.13401723
0.3011398437769121,0.025081778
0.30492622523178053,0.63452107
0.21358945263940302,0.21850222
0.4236955876888842,0.36406383
0.37279780898215736,0.06683763
0.3449266755684117,0.021825582
0.34512918657264846,0.052077085
0.6518897719704786,0.16696304
0.5217710835667001,0.020959321
0.4592543645997962,0.10229188
0.35010680035250613,0.07449135
0.4312729758523042,0.52234817
0.3048723604186598,0.15006378
0.31043820025676283,0.13286288
0.30594181830934913,0.04868763
0.163921644874624,0.017853966
0.5311207336277075,0.19513188
0.02678204521195003,0.27956623
0.22938311847395865,0.3373787
0.44207698816714935,0.43637127
0.38709045089640526,0.06007492
0.0962923213004651,0.053761225
0.20259869451042872,0.23694554
0.40841423821382605,0.2476615
0.417521868867489,0.06847765
0.29255682535663535,0.87898624
0.2399415287151943,0.031702947
0.24024089875491872,0.09772455
0.31503589625747397,0.26825035
0.05514416570206318,0.24906977
0.4147356985642917,0.062089104
0.3117172025063983,0.017167434
0.49051277638942403,0.30135068
0.2938606695343658,0.35821474
0.23036754510319862,0.031681325
0.17115096568487018,0.088300966
0.3152649495886929,0.21972439
0.5322491004392358,0.45049146
0.44565469223806603,0.021703916
0.02488521444641814,0.15240194
0.29044865667628367,0.28805172
0.3013592709312163,0.29183364
0.46752345053753536,0.33893436
0.30418844132714373,0.0151246935
0.03608419189807377,0.0591997
0.36337389100473844,0.16683134
0.47977604579468675,0.14515133
0.4973776222791083,0.013571926
0.4116649733548926,0.28592995
0.19999564969061118,0.0939881
0.22255189625961233,0.08574868
0.9022206428561416,0.65901554
0.16323447163363491,0.08853716
0.11097297091319172,0.018035652
0.1452008503607686,0.025806041
0.5912961991135511,0.27342927
0.33939343320127546,0.40021762
0.3320092912937988,0.05454936
0.19973717214177147,0.8296514
0.20576376640233113,0.058298375
0.27987423831271213,0.7913211
0.5700534108954891,0.06603517
0.06413644837515403,0.17587127
0.7553609338660175,0.31046975
0.15748097898602828,0.049217347
0.2755057422234291,0.045501035
0.19723040318310978,0.10320774
0.579441373214644,0.26930615
0.5640059541461568,0.24109499
0.3334906005565152,0.2373629
0.21247424237536328,0.18578587
0.41737176375988444,0.16299787
0.25339289631423784,0.014316196
0.41234782121483105,0.13099776
0.4083267686659052,0.0678376
0.25232854847122793,0.081154644
0.5462904098016969,0.54880196
0.16943635949186237,0.05670251
0.3710055679297063,0.2117265
0.4963386919012324,0.21168835
0.10876348850189514,0.03370696
0.18023589130473291,0.0681997
0.49535906009682773,0.43359414
0.34589849483799306,0.11743111
0.2502003339334587,0.27986112
0.40131280014146087,0.027352147
0.42973641925049144,0.006622728
0.10650697461310138,0.4284205
0.3647083583509292,0.18924505
0.31770244364787387,0.08795001
0.1570911539236792,0.18199627
0.37561601328436467,0.43886557
0.2629961395665853,0.33628213
0.5120532016924059,0.12238713
0.2608648746213113,0.2853797
0.8651010633200745,0.53736144
0.6198859122023823,0.19740091
0.8992723821516256,0.34375992
0.3731166041634131,0.3620567
0.48516969395215587,0.10630891
0.42062937471478423,0.23674165
0.025403176389572703,0.2616036
0.14184627172162925,0.023256343
0.1070457468583945,0.05241767
0.8365290333385468,0.24918973
0.2820398208444984,0.07727474
0.188531132254174,0.029465428
0.5070405717729742,0.23134343
0.37521854232689283,0.04176907
0.7237277788070388,0.88948077
0.49149549519482955,0.5521592
0.1184112099613283,0.028414262
0.0,0.05510277
0.28960557763784905,0.27016687
0.15833542230738007,0.08758762
0.27273046748074203,0.39696229
0.24459510222577188,0.06159526
0.3461077889673496,0.047574885
0.5333589381091479,0.66182625
0.3917884601445872,0.10655649
0.22327484880122456,0.089508474
0.23908921865532345,0.021054266
0.5538614226702705,0.746916
0.5597751278797297,0.29972032
0.3433803907398059,0.03903176
0.2648420418648579,0.028604375
0.4480404058368139,0.037373394
0.2138973424060833,0.24051814
0.26849450320824614,0.39466587
0.3447042606419321,0.55883193
0.2059110078048016,0.50002396
0.3845821674549846,0.04578503
0.1221997999489889,0.15926528
0.2621290148184686,0.07544444
0.3762723034248311,0.16909221
0.48571112243570663,0.22692302
0.3676482640144187,0.21374485
0.17783416010517888,0.034669537
0.43720650585711335,0.5984192
0.5463188868428027,0.8411051
0.4790039272313723,0.120075345
0.5065692935665721,0.17620553
0.3533757949832627,0.076757364
0.44139282086083476,0.18077694
0.27357781835806233,0.39016023
0.3196397760080296,0.5407839
0.39291880330348,0.14460559
