Normalized_EfficientNet_Similarity,Normalized_SS_Score
0.7146487,0.4722222222222222
0.24245794,0.3888888888888889
0.4160851,0.5833333333333334
0.555131,0.16666666666666666
0.31982696,0.5
0.68908817,0.7222222222222222
0.632232,0.2777777777777778
0.5692634,0.16666666666666666
0.35728556,0.2222222222222222
0.28373444,0.5
0.44775876,0.4722222222222222
0.71022654,0.7222222222222222
0.44468608,0.4166666666666667
0.7506609,0.6111111111111112
0.5889494,0.2222222222222222
0.582769,0.3888888888888889
0.55360085,0.3611111111111111
0.34373707,0.3055555555555556
0.45336315,0.2222222222222222
0.7688858,0.2777777777777778
0.46081296,0.2777777777777778
0.13424999,0.4166666666666667
0.31358686,0.3888888888888889
0.4918656,0.3611111111111111
0.40480503,0.3888888888888889
0.5969078,0.5
0.21048136,0.3888888888888889
0.35924214,0.3611111111111111
0.40540305,0.5277777777777778
0.57640034,0.16666666666666666
0.34836718,0.3333333333333333
0.26302704,0.16666666666666666
0.24364021,0.25
0.32295248,0.5277777777777778
0.41323563,0.25
0.92042005,0.6666666666666666
0.54636604,0.2222222222222222
0.40431422,0.3055555555555556
0.20354588,0.3333333333333333
0.44875205,0.4166666666666667
0.21593724,0.6111111111111112
0.50327677,0.5833333333333334
0.6871574,0.5
0.5897634,0.2777777777777778
0.73539364,0.3888888888888889
0.5858212,0.3333333333333333
0.30871397,0.4444444444444444
0.6691179,0.3333333333333333
0.2568405,0.5
0.7980446,0.4444444444444444
0.34300694,0.5
0.46139988,0.2777777777777778
0.31308144,0.25
0.16214693,0.08333333333333333
0.4199969,0.1388888888888889
0.19061445,0.2777777777777778
0.38117594,0.3055555555555556
0.3605905,0.25
0.43155798,0.16666666666666666
0.27495274,0.4444444444444444
0.6092247,0.5277777777777778
0.39682093,0.2222222222222222
0.293568,0.2222222222222222
0.55414504,0.2777777777777778
0.17438792,0.25
0.5510587,0.2222222222222222
0.3071931,0.4722222222222222
0.29875997,0.3888888888888889
0.47277653,0.3333333333333333
0.8510927,0.6666666666666666
0.3233748,0.4722222222222222
0.40505064,0.4444444444444444
0.5094435,0.3333333333333333
0.44641212,0.25
0.2706155,0.027777777777777776
0.5767865,0.5
0.30622008,0.16666666666666666
0.50407207,0.5
0.11283843,0.3055555555555556
0.5217499,0.5277777777777778
0.8389424,0.5277777777777778
0.41822052,0.1111111111111111
0.79761386,0.7777777777777778
0.7429541,0.4444444444444444
0.48998332,0.5277777777777778
0.52173376,0.4166666666666667
0.53305477,0.3888888888888889
0.7196002,0.5
0.8395788,0.6666666666666666
0.5889935,0.19444444444444445
0.49044502,0.1111111111111111
0.35193005,0.3888888888888889
0.48318624,0.3055555555555556
0.81351143,0.6111111111111112
0.360644,0.2777777777777778
0.31713635,0.4444444444444444
0.42290252,0.3611111111111111
0.6094695,0.8333333333333334
0.35137188,0.3611111111111111
0.42325023,0.3055555555555556
0.75519425,0.4444444444444444
0.38798678,0.2777777777777778
0.31391162,0.5833333333333334
0.21785131,0.16666666666666666
0.42205462,0.3888888888888889
0.2378528,0.2777777777777778
0.51594263,0.5
0.5433045,0.3333333333333333
0.3508161,0.2222222222222222
0.3482954,0.3333333333333333
1.0,0.7777777777777778
0.37454644,0.1388888888888889
0.66937214,0.4444444444444444
0.7403546,0.3333333333333333
0.0,0.05555555555555555
0.2501714,0.5
0.6073795,0.5555555555555556
0.43624848,0.16666666666666666
0.8365519,0.6111111111111112
0.5738167,0.3333333333333333
0.4302616,0.5
0.5666391,0.4722222222222222
0.2750241,0.08333333333333333
0.3612558,0.4722222222222222
0.36347288,0.4166666666666667
0.7513135,0.3333333333333333
0.14183435,0.19444444444444445
0.22507621,0.2777777777777778
0.49366882,0.3333333333333333
0.59883285,0.6111111111111112
0.46938762,0.3333333333333333
0.26918823,0.4722222222222222
0.45158845,0.16666666666666666
0.390178,0.3333333333333333
0.33161062,0.2777777777777778
0.39330328,0.3055555555555556
0.68849605,0.4166666666666667
0.52989084,0.5833333333333334
0.42492864,0.4444444444444444
0.25940597,0.25
0.40412813,0.4166666666666667
0.36162308,0.5
0.41307542,0.3055555555555556
0.30174118,0.4444444444444444
0.7791266,0.7222222222222222
0.49768263,0.19444444444444445
0.2833971,0.3888888888888889
0.230094,0.16666666666666666
0.15566033,0.16666666666666666
0.47428238,0.9444444444444444
0.21550466,0.3611111111111111
0.66735965,0.3611111111111111
0.37393883,0.16666666666666666
0.5391009,0.25
0.45394307,0.3888888888888889
0.7285238,0.4444444444444444
0.5161917,0.3611111111111111
0.8560829,0.6111111111111112
0.505708,0.3611111111111111
0.47349492,0.08333333333333333
0.29875997,0.3888888888888889
0.34353387,0.6388888888888888
0.6857244,0.5833333333333334
0.5892878,0.19444444444444445
0.31221318,0.5277777777777778
0.32267478,0.5555555555555556
0.32271543,0.6666666666666666
0.23191974,0.3611111111111111
0.47214943,0.8888888888888888
0.0094757425,0.4166666666666667
0.52343136,0.3888888888888889
0.3922989,0.4444444444444444
0.7467872,0.5555555555555556
0.5122258,0.4722222222222222
0.23225415,0.4166666666666667
0.44969684,0.3611111111111111
0.3937676,0.2222222222222222
0.36628476,0.4722222222222222
0.5599212,0.2222222222222222
0.39763063,0.16666666666666666
0.7571938,0.4166666666666667
0.6003309,0.2777777777777778
0.5872771,0.1388888888888889
0.8158957,0.8055555555555556
0.54974705,0.5555555555555556
0.39093965,0.3055555555555556
0.0,0.05555555555555555
0.36171624,0.2222222222222222
0.44857863,0.6388888888888888
0.41184795,0.05555555555555555
0.5340893,0.3055555555555556
0.24638674,0.3333333333333333
0.3485001,0.4722222222222222
0.5939052,0.3055555555555556
0.6504117,0.2222222222222222
0.75098306,0.5833333333333334
0.57098186,0.4166666666666667
0.28032976,0.2222222222222222
0.488784,0.2222222222222222
0.5880266,0.5277777777777778
0.49635473,0.3611111111111111
0.81981623,0.5833333333333334
0.38250595,0.2222222222222222
0.45091498,0.2222222222222222
0.44620094,0.3333333333333333
0.2126845,0.1388888888888889
0.71475345,0.4444444444444444
0.7207602,0.3333333333333333
0.41596225,0.4722222222222222
0.62902987,0.3333333333333333
0.58932877,0.2222222222222222
0.67228967,0.8055555555555556
0.49872628,0.4166666666666667
0.35550538,0.3888888888888889
0.42861196,0.7222222222222222
0.58767307,0.3055555555555556
0.4133441,0.6388888888888888
0.58341116,0.25
0.1446548,0.3333333333333333
0.71304554,0.4444444444444444
0.28647104,0.16666666666666666
0.2801816,0.3611111111111111
0.21691445,0.5277777777777778
0.7218603,0.5277777777777778
0.3301604,0.16666666666666666
0.48014152,0.3333333333333333
0.37317088,0.4722222222222222
0.44991192,0.5
0.6710141,0.3888888888888889
0.4063975,0.25
0.38691488,0.2777777777777778
0.69724834,0.4444444444444444
0.5168156,0.5555555555555556
0.568441,0.3611111111111111
0.47715515,0.4444444444444444
0.4714043,0.4444444444444444
0.6327372,0.7222222222222222
0.49511227,0.3333333333333333
0.7497016,0.4444444444444444
0.4650891,0.2222222222222222
0.56103975,0.3888888888888889
0.35260743,0.3333333333333333
0.4381081,0.3333333333333333
0.4087069,0.2777777777777778
0.51960105,0.5
0.62950003,0.4722222222222222
0.45013475,0.2222222222222222
0.24222665,0.3888888888888889
0.41000342,0.3055555555555556
0.36834878,0.3333333333333333
0.015741128,0.19444444444444445
0.5664011,0.4722222222222222
0.55802095,0.3611111111111111
0.39261118,0.3055555555555556
0.52968514,0.4166666666666667
0.52301455,0.4444444444444444
0.5184597,0.25
0.20964289,0.1388888888888889
0.38001803,0.3611111111111111
0.32397062,0.2777777777777778
0.3733777,0.16666666666666666
0.54882234,0.3888888888888889
0.3902801,0.3888888888888889
0.74453,0.5
0.3344437,0.2777777777777778
0.33973193,0.5
0.31140792,0.4166666666666667
0.72877824,0.6388888888888888
0.54348284,0.4166666666666667
0.37699008,0.25
0.47415316,0.3055555555555556
0.26403582,0.25
0.46990454,0.2222222222222222
0.46958148,0.5555555555555556
0.35669142,0.1388888888888889
0.5458406,0.9166666666666666
0.7906292,0.5833333333333334
0.324416,0.25
0.67944217,0.1111111111111111
0.26232743,0.3611111111111111
0.39908746,0.3611111111111111
0.2788743,0.2777777777777778
0.76154983,0.6111111111111112
0.7558812,0.3888888888888889
0.31745568,0.5833333333333334
0.2949799,0.3333333333333333
0.36735946,0.3888888888888889
0.50468427,0.2777777777777778
0.5796793,0.3888888888888889
0.8750905,0.5277777777777778
0.35039663,0.4166666666666667
0.36191335,0.8333333333333334
0.32148463,0.4166666666666667
0.19720273,0.4722222222222222
0.5147509,0.25
0.28107378,0.16666666666666666
0.36106047,0.05555555555555555
0.4531567,0.05555555555555555
0.16427855,0.5
0.49266443,0.25
0.44002753,0.3333333333333333
0.43956158,0.5277777777777778
0.65887964,0.3611111111111111
0.4009928,0.3888888888888889
0.5736798,0.5555555555555556
0.4265066,0.3611111111111111
0.6722472,0.5833333333333334
0.55075496,0.4166666666666667
0.14809752,0.5833333333333334
0.52447486,0.2777777777777778
0.45626396,0.3611111111111111
0.7012973,0.3888888888888889
0.37530336,0.6666666666666666
0.6343659,0.4166666666666667
0.45647848,0.05555555555555555
0.3039691,0.25
0.5344078,0.3888888888888889
0.5055137,0.3888888888888889
0.71304554,0.4444444444444444
0.3937379,0.08333333333333333
0.61131674,0.4444444444444444
0.5599231,0.3888888888888889
0.3685177,0.3611111111111111
0.32328892,0.5555555555555556
0.7758166,0.5277777777777778
0.3992603,0.4444444444444444
0.6533737,0.4722222222222222
0.29653236,0.3055555555555556
0.037325505,0.08333333333333333
0.117182106,0.16666666666666666
0.7048606,0.4444444444444444
0.391984,0.2777777777777778
0.24429291,0.19444444444444445
0.4547686,0.5277777777777778
0.32953635,0.2777777777777778
0.49003437,0.5555555555555556
0.43325794,0.1388888888888889
0.45915127,0.6388888888888888
0.5119047,0.3611111111111111
0.35415497,0.5277777777777778
0.7380034,0.6944444444444444
0.71430796,0.6111111111111112
0.6010441,0.25
0.2807203,0.3055555555555556
0.3258149,0.3611111111111111
0.69311935,0.6944444444444444
0.40358385,0.3055555555555556
0.51949865,0.3055555555555556
0.22656532,0.3055555555555556
0.7810165,0.8888888888888888
0.39860308,0.4722222222222222
0.30586898,0.2777777777777778
0.5749736,0.3888888888888889
0.42976972,0.05555555555555555
0.4896751,0.1388888888888889
0.36998445,0.2777777777777778
0.5051297,0.3888888888888889
0.659173,0.0
0.3266043,0.2222222222222222
0.56374866,0.3333333333333333
0.3822236,0.5555555555555556
0.37686032,0.25
0.507169,0.4722222222222222
0.5268701,0.3888888888888889
0.3495042,0.2777777777777778
0.32763922,0.19444444444444445
0.69654673,0.5
0.3296062,0.25
0.43874878,0.3611111111111111
0.74064976,0.4722222222222222
0.9714922,0.6666666666666666
0.7094571,0.2777777777777778
0.1378561,0.1111111111111111
0.3011284,0.19444444444444445
0.57797927,0.75
0.55850065,0.3888888888888889
0.31829104,0.5
0.40865102,0.3611111111111111
0.74331033,0.7222222222222222
0.53045255,0.6944444444444444
0.5495639,0.3055555555555556
0.45158565,0.4722222222222222
0.31776616,0.2222222222222222
0.42764896,0.1388888888888889
0.5563128,0.3055555555555556
0.6461841,0.19444444444444445
0.5417095,0.3333333333333333
0.44137985,0.2222222222222222
0.29406032,0.4444444444444444
0.26833144,0.2777777777777778
0.33383727,0.25
0.6075505,0.3055555555555556
0.50065845,0.5555555555555556
0.3177031,0.4722222222222222
0.43321356,0.3333333333333333
0.67473745,0.6388888888888888
0.50664735,0.3888888888888889
0.27640375,0.3611111111111111
0.9305277,0.7222222222222222
0.44494304,0.3055555555555556
0.4134238,0.6111111111111112
0.6483504,0.3888888888888889
0.20651111,0.25
0.69604784,0.3055555555555556
0.42283213,0.2777777777777778
0.80666834,0.9166666666666666
0.5020141,0.3333333333333333
0.5111734,0.5555555555555556
0.5272906,0.25
0.5240048,0.2777777777777778
0.70138305,0.3055555555555556
0.71746945,0.8888888888888888
0.5767041,0.19444444444444445
0.5151548,0.3333333333333333
0.4425672,0.2777777777777778
0.28670454,0.3055555555555556
0.43895414,0.3333333333333333
0.5043597,0.4722222222222222
0.8030896,0.2777777777777778
0.44008726,0.25
0.18393591,0.3888888888888889
0.47699386,0.4444444444444444
0.45105585,0.4166666666666667
0.48141357,0.6944444444444444
0.38598213,0.4444444444444444
0.5083798,0.2777777777777778
0.32250378,0.3611111111111111
0.4173284,0.25
0.56888217,0.2777777777777778
0.70606524,0.4722222222222222
0.29450867,0.6111111111111112
0.31292796,0.3888888888888889
0.23164728,0.16666666666666666
0.37483647,0.3333333333333333
0.19070691,0.16666666666666666
0.47957426,0.3888888888888889
0.5378505,0.3333333333333333
0.39696485,0.2777777777777778
0.33230245,0.5277777777777778
0.441783,0.08333333333333333
0.31449375,0.4166666666666667
0.40820637,0.3611111111111111
0.47996694,0.5277777777777778
0.5119432,0.25
0.28479403,0.3888888888888889
0.43632728,0.3333333333333333
0.77086467,0.5277777777777778
0.26637834,0.4166666666666667
0.38704735,0.4722222222222222
0.5987564,0.5
0.5604705,0.4166666666666667
0.38584507,0.5
0.30376947,0.3055555555555556
0.50721633,0.2222222222222222
0.58064276,0.16666666666666666
0.8349664,0.5
0.15523492,0.3055555555555556
0.7659339,0.3055555555555556
0.34185368,0.25
0.5986431,0.5277777777777778
0.5545909,0.4722222222222222
0.3006994,0.3055555555555556
0.11516084,0.2222222222222222
0.28616998,0.16666666666666666
0.28268367,0.1388888888888889
0.18292257,0.2222222222222222
0.4283383,0.5555555555555556
0.5578121,0.4722222222222222
0.65147316,0.6111111111111112
0.37255847,0.5277777777777778
0.79319054,0.7222222222222222
0.17111962,0.4722222222222222
0.49794152,0.5277777777777778
0.358619,0.1111111111111111
0.7022339,0.5277777777777778
0.6216866,0.3611111111111111
0.40867984,0.6388888888888888
0.5105936,0.4166666666666667
0.65562135,0.5
0.7296628,0.2777777777777778
0.45447025,0.4722222222222222
0.5331943,0.3055555555555556
0.849406,0.5555555555555556
0.5276732,0.4166666666666667
0.4492358,0.2777777777777778
0.93847775,0.4722222222222222
0.5647496,0.25
0.22308414,0.4722222222222222
0.5208692,0.4166666666666667
0.65035737,0.3888888888888889
0.54847395,0.6111111111111112
0.60504925,0.3055555555555556
0.5300729,0.5
0.3073738,0.05555555555555555
0.33861774,0.19444444444444445
0.042834308,0.3888888888888889
0.47835743,0.3611111111111111
0.3663131,0.3888888888888889
0.572338,0.3888888888888889
0.48587042,0.3611111111111111
0.85364276,0.6944444444444444
